To be	[tə biː]	Быть
To do	[du]	Делать
To feel	[fiːl]	Чувствовать
To see	[siː]	Видеть
To hear	[hɪər]	Слышать
To run	[rʌn]	Бежать
To get	[ɡet]	Получать
To make	[meɪk]	Сделать
To cook	[kʊk]	Готовить
To sing	[sɪŋ]	Петь
To speak	[spiːk]	Разговаривать
To say	[seɪ]	Говорить
To tell	[tel]	Рассказывать
To take	[teɪk]	Брать
To sit	[sɪt]	Садиться
To stand	[stænd]	Стоять
To laugh	[lɑːf]	Смеяться
To smile	[smaɪl]	Улыбаться
To open	[ˈəʊpən]	Открывать
To close	[kləʊz]	Закрывать
To love	[lʌv]	Любить
To like	[laɪk]	Нравиться
To give	[ɡɪv]	Давать
To bring	[brɪŋ]	Приносить
To breath	[breθ]	Дышать
To buy	[baɪ]	Покупать
To sell	[sel]	Продавать
To forget	[fəˈɡet]	Забывать
To believe	[bɪˈliːv]	Верить
To have	[həv]	Иметь
To go	[ɡəʊ]	Идти
To know	[nəʊ]	Знать
To think	[θɪŋk]	Думать
To come	[kʌm]	Приходить
To want	[wɒnt]	Хотеть
To use	[juːz]	Использовать
To find	[faɪnd]	Находить
To work	[wɜːk]	Работать
To eat	[iːt]	Есть
To drink	[drɪŋk]	Пить
To write	[raɪt]	Писать
To read	[riːd]	Читать
To call	[kɔːl]	Звонить
To try	[traɪ]	Пытаться
To need	[niːd]	Нуждаться
To become	[bɪˈkʌm]	Становиться
To put	[pʊt]	Класть
To leave	[liːv]	Оставлять
To pay	[peɪ]	Платить
To play	[pleɪ]	Играть
To pray	[preɪ]	Молиться
To stay	[steɪ]	Оставаться
To mean	[miːn]	Означать
To keep	[kiːp]	Держать, хранить
To let	[let]	Оставлять
To begin	[bɪˈɡɪn]	Начинать
To start	[stɑːt]	Стартовать
To finish	[ˈfɪnɪʃ]	Заканчивать
To help	[help]	Помогать
To show	[ʃəʊ]	Показывать
To cry	[kraɪ]	Плакать
To move	[muːv]	Двигаться
To jump	[dʒʌmp]	Прыгать
To live	[lɪv]	Жить
To die	[daɪ]	Умирать
To happen	[ˈhæpən]	Случаться
To lose	[luːz]	Проигрывать
To hate	[heɪt]	Ненавидеть
To include	[ɪnˈkluːd]	Включать в себя
To turn on	[tɜːn ɒn]	Включать (о приборе)
To turn off	[tɜːn ɒf]	Выключать
To continue	[kənˈtɪnjuː]	Продолжать
To change	[tʃeɪndʒ]	Менять
To wash	[wɒʃ]	Мыть
To clean	[kliːn]	Убирать, очищать
To lead	[liːd]	Вести
To understand	[ˌʌndəˈstænd]	Понимать
To watch	[wɒtʃ]	Смотреть
To discover	[dɪˈskʌvə(r)]	Исследовать
To imagine	[ɪˈmædʒɪn]	Представлять
To introduce	[ˌɪntrəˈdjuːs]	Представить
To follow	[ˈfɒləʊ]	Следовать
To create	[kriˈeɪt]	Создавать
To grow	[ɡrəʊ]	Расти
To spend	[spend]	Тратить
To win	[wɪn]	Выигрывать
To offer	[ˈɒfə(r)]	Предлагать
To learn	[lɜːn]	Изучать
To appear	[əˈpɪə(r)]	Появляться
To disappear	[ˌdɪsəˈpɪə(r)]	Исчезать
To build	[bɪld]	Строить
To break	[breɪk]	Ломать
To send	[send]	Посылать
To fall	[fɔːl]	Падать
To cut	[kʌt]	Резать
To achieve	[əˈtʃiːv]	Достигать
To communicate	[kəˈmjuːnɪkeɪt]	Общаться
To kill	[kɪl]	Убивать
To pass	[pɑːs]	Проходить
To fly	[flaɪ]	Летать
To swim	[swɪm]	Плавать
To decide	[dɪˈsaɪd]	Решать
To return	[rɪˈtɜːn]	Возвращаться
To hope	[həʊp]	Надеяться
To explain	[ɪkˈspleɪn]	Объяснять
To propose	[prəˈpəʊz]	Предлагать
To develop	[dɪˈveləp]	Развивать
To support	[səˈpɔːt]	Поддерживать
To dance	[dɑːns]	Танцевать
To draw	[drɔː]	Рисовать
To book	[bʊk]	Бронировать
To be afraid	[bi əˈfreɪd]	Бояться
To agree	[əˈɡriː]	Соглашаться
To check up	[tʃek ʌp]	Проверять
To delete	[dɪˈliːt]	Удалять
To choose	[tʃuːz]	Выбирать
To catch	[kætʃ]	Ловить
To ask	[ɑːsk]	Спрашивать
To answer	[ˈɑːnsə(r)]	Отвечать
To hesitate	[ˈhezɪteɪt]	Cомневаться
